127.0.0.1 - - [16/Feb/2023:09:11:10 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:11:12 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:11:13 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:11:13 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:11:14 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:15:19 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:16:34 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:16:37 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:28 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:30 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:31 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:32 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:57 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:58 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:40:58 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:41:00 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:41:04 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:10 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:10 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:11 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:12 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:58 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:58 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:59 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:44:59 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:01 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:01 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:01 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:01 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:02 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:02 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:02 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:02 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:03 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [16/Feb/2023:09:45:04 +0700] "GET /favicon.ico HTTP/1.1" 404 762
