0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:02:20 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:02:22 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:02:24 +0700] "GET /HV_SoftwarePackage/template/user/fonts/open-iconic/open-iconic.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10731
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.carousel.min.css HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.theme.default.min.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/magnific-popup.css HTTP/1.1" 200 7300
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css HTTP/1.1" 200 25984
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/ionicons.min.css HTTP/1.1" 200 46826
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/icomoon.css HTTP/1.1" 200 84794
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/flaticon.css HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/jquery.timepicker.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/style.css HTTP/1.1" 200 254983
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.min.js HTTP/1.1" 200 278290
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/bootstrap-datepicker.css HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/user/css/user.css HTTP/1.1" 200 4444
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js HTTP/1.1" 200 50682
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11635
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js HTTP/1.1" 200 19036
