127.0.0.1 - - [05/Mar/2023:06:52:59 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:46 +0700] "GET /HV_SoftwarePackage/template/user/css/jquery.timepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/user/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/scrollax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/template/user/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/user/js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:47 +0700] "GET /HV_SoftwarePackage/user/media/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:48 +0700] "GET /HV_SoftwarePackage/template/admin/assets/img/carousel-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:48 +0700] "GET /HV_SoftwarePackage/template/user/images/image_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:48 +0700] "GET /HV_SoftwarePackage/template/user/images/image_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:50 +0700] "GET /HV_SoftwarePackage/template/user/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:54:51 +0700] "GET /HV_SoftwarePackage/UsersController?action=login HTTP/1.1" 200 12029
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:55:29 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 10865
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:55:30 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 10865
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:56:13 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 11341
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:56:14 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 11341
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:56:28 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 11341
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:58:11 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 11645
0:0:0:0:0:0:0:1 - - [05/Mar/2023:06:58:32 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 11645
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/user/jsp/resetPassword.jsp HTTP/1.1" 200 11667
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.theme.default.min.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css HTTP/1.1" 200 25984
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/magnific-popup.css HTTP/1.1" 200 7300
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/bootstrap-datepicker.css HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/jquery.timepicker.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [05/Mar/2023:07:01:46 +0700] "GET /HV_SoftwarePackage/template/user/css/ionicons.min.css HTTP/1.1" 200 46826
