127.0.0.1 - - [20/Feb/2023:07:44:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:44:20 +0700] "GET /HV_SoftwarePackage/forgotPass.jsp HTTP/1.1" 200 4490
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:44:29 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:44:32 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:44:32 +0700] "GET /HV_SoftwarePackage/media/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:44:34 +0700] "GET /HV_SoftwarePackage/assets/img/carousel-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:44:37 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:45:05 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 7554
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:45:05 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:45:06 +0700] "GET /HV_SoftwarePackage/media/background.jpg HTTP/1.1" 200 88472
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:47:24 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:19 +0700] "GET /HV_SoftwarePackage/signup.jsp HTTP/1.1" 200 7554
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:21 +0700] "GET /HV_SoftwarePackage/css/main.css HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:22 +0700] "GET /HV_SoftwarePackage/js/user.js HTTP/1.1" 200 7698
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:22 +0700] "GET /HV_SoftwarePackage/media/logo.jpg HTTP/1.1" 200 2318603
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:22 +0700] "GET /HV_SoftwarePackage/assets/img/carousel-4.jpg HTTP/1.1" 200 191268
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:22 +0700] "GET /HV_SoftwarePackage/media/background.jpg HTTP/1.1" 200 88472
0:0:0:0:0:0:0:1 - - [20/Feb/2023:07:51:26 +0700] "GET /favicon.ico HTTP/1.1" 404 762
